busstop,lat,lon
BANASHANKARI TTMC,12.9175629124167,77.5734471158981
"Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER",12.9176249821,77.5773779489
"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE KRISHNA SEVA ASHRAMA HOSPITAL",12.9170916416,77.584924344
"Marenahalli Petrol Bunk,PATTABHIRAMA NAGARA,BESIDE AKKA MAHADEVI PARK",12.9170410149,77.5886585657
"Ragigudda,JAYANAGARA 9TH BLOCK,BESIDE RAGHAVENDRA UPAHARA",12.9168999954966,77.5931451942764
"Jayadeva Hospital,JAYANAGARA 9TH BLOCK,HEALTHY INTERNATIONAL HOMEOPATHY",12.9168577865,77.5974690355
"MICO Layout,BTM LAYOUT 1ST STAGE",12.9166977746839,77.603466782884
"BTM water Tank,BTM LAYOUT,IN FRONT OF CORPORATION BANK",12.9167048167,77.6067416836
"Udupi Garden 16th Main,BTM LAYOUT,BESIDE BANGLOR ONE CENTER",12.9166423284103,77.6090389222481
"BTM Layout Bus Stop,BTM LAYOUT 2ND STAGE,IN FROUNT OF KUVEMPUNAGRA BUS STAND",12.9163629189,77.615990527
"Central Silk Board,MADIWALA,IN FRONT OF SHRI KRISHNA BHAVAN HOTEL",12.917724099987,77.6239001832664
"HSR Apartment,KORAMANAGALA, HSR LAYOUT,IN FRONT OF ARANYA MULTI CUISINE RESTAURANT",12.9168055262077,77.6293271241013
"14th Main HSR Layout,HSR LAYOUT,IN FRONT OF WESTMEAD CLINIC",12.91627,77.63530
"Depot-25,HSR LAYOUT,OPPOSITE OF SAROVARA APARTMENT, DEPOT 25",12.9199793497093,77.6430081089863
Agara Junction,12.92444,77.65051
Ibbaluru Sarjapura Road,12.921205,77.662857
"Sarjapura Cross,HSR LAYOUT,IN FRONT OF SHOBHA GRANET APARTMENT",12.9211990753899,77.6658049722196
"Petrol Bunk,BELLANDUR,IN FRONT OF INDIAN OIL CORPORATION",12.9231192174197,77.6700011787813
"Bellandur gate,BELLANDUR,OPPOSITE OF ANGAN RESTUARANT",12.9249790321239,77.6740340588659
"Eco Space,BELLANDUR,IN FRONT OF MARUTHI SUZUKI MOTORS",12.9279756934602,77.6803299709971
"Devarabisanahalli,DEVERA BISANAHALLI,OPPOSTIE OF COUNTRY CLUB",12.9320698099116,77.6870813885226
"New Horizon College,DEVARA BISANAHALLI, KADABEESANAHALLI,BESIDE SALAPURIA TOUCH STONE",12.93545,77.69110
"Kada Bisanahalli,KADABEESANAHALLI,IN FRONT OF V.R.CHAMBERS",12.9396210491615,77.6952027478891
"Multiplex Marathahalli,MARATHAHALLI,BESIDE PRESTIGE TECH PARK",12.95156,77.69970
"Jn of Marathalli Bridge,MARATHAHALLI,IN FRONT OF SOUL SPACE PARDIGM",12.9540844169,77.7002514526
"Karthik Nagara,MARATHAHALLI,IN FRONT OF A.P.RESIDENCY, GUEST HOUSE",12.9683893919,77.7013375796
"Dodda Nekkundi,DODDANEKUNDI,NEAR BY CAFE COFFEE DAY",12.9798140097,77.6944025606
"EMC2,DODDANEKUNDI,IN FRONT OF TOTAL MALL",12.9823997082408,77.6927989865896
"Mahadevapura Cross,MAHADEVAPURA,IN FRONT OF MTB MANGALAMERU KALAYANA MANTAPA",12.9886376392,77.6889819
"B Narayanapura,B.NARAYANA PURA,OPPOSITE OF MORE MEGA STORE",12.9964727908,77.6834268775
"KR Puram Railway Station,KR PURAM,OPPOSITE OF BRIDGE",12.9998897774164,77.6762811951645
Tin Factory,12.9963641150852,77.668661933659
"Jn of Kasturi Nagara,KASTURI NAGARA,BESIDE SHRI SHANTI TOWER",13.00403,77.66316
"BChannasandra,RAMAMURTHY NAGARA,UNDER PASS ENTRANCE",13.0112797581,77.6622782461
"Vijaya Bank Colony,DODDA BANASAWADI,OPPOSITE OF CACHE FURNITURES LIMITED",13.0169558991,77.6601492427
"Horamabu petrol bunk,BANASAWADI,OPPOSITE OF UDUPI SAGAR HOTEL",13.0194132923092,77.6543329081788
"Babusab Palya,KALYANA NAGARA,IN FRONT OF SHRI R.V.PLAZA",13.0224128976245,77.6473376147958
"80 Feet Road Kalyan Nagara,KALYANA NAGARA,OPPOSITE OF SATISH SAGAR HOTEL",13.0252905853788,77.6405366736548
"Kalyana Nagara,KALYANA NAGARA,OPPOSITE OF INDO ASIAN ACADEMY DEGREE COLLEGE",13.0263655653666,77.6364009012997
"Jn of Hennur Cross,HENNURU,OPPOSITE OF NAVAJEEVA ASHRAM, NEW LIFE COLLEGE",13.0293492135,77.6312559843
HBR Layout,13.03413,77.62895
"Jn of Nagavara,NAGAVARA,IN FRONT OF RASI TVS SERVICE CENTER",13.0404693823867,77.6239432170137
"Manyatha Tech Park,NAGAVARA,OPPOSITE OF IBM MANYATA COMPANY",13.04107,77.62088
"Veeranna Palya,NAGAVARA,OPPOSITE OF UDUPI UPHAR HOTEL",13.04211,77.61355
"Kempapura,HEBBALA,OPPOSITE OF SHRI BHAVANI ENTERPRISES",13.043583953523,77.6008414027079
Hebbala,13.0426666991409,77.5911362617954
