busstop,lat,lon
HAL Main Gate,12.95843,77.66592
BEML Gate,12.97119,77.65874
"GTRE,HAL 3RD STAGE,OPPOSITE OF BEML LIMITED BANGALORE COMPLEX",12.9758122863691,77.6555131757699
"NGEF Ground,SADANANDA NAGARA,IN FRONT OF N.G.E.F.FACTORY",12.9919357505,77.6517878752
"Sadananda Nagara,SADANANDA NAGARA,IN FRONT OF DOOR NO 188",12.9944098368,77.6580273639
Kasthuri Nagara,13.003991,77.663058
"Jn Of Ring Road Channasandra,RAMAMURTHI NAGARA,BESIDE RAILWAY BRIDGE",13.0132232263595,77.6627848272557
"Ramamurthinagar Police Station,RAMAMURTHI NAGARA,IN FRONT OF POLICE STATION",13.0120903053287,77.6677964740646
"Alada Mara Ramamurthy Nagar,RAMAMURTHI NAGARA,OPPOSITE OF HI-FASHION FAMILY STOP",13.0115346653959,77.6769405044932
"Church RM Nagar,RAMAMURTHI NAGARA,IN FRONT OF VISMAYA ENTERPRISES",13.0117616652912,77.6787970856894
"ITI Circle,DOORAVANI NAGARA,IN FRONT OF VIJAYALAKSHMI ENTERPRISES",13.008053,77.683226
ITI Calony Gate,13.0055479715034,77.6855542782571
KR Puram,13.0081282368034,77.6951594410739
