route_no,busstop,lat,lon
500A,"BTM water Tank,BTM LAYOUT,IN FRONT OF CORPORATION BANK",12.91670482,77.60674168
500A,"Udupi Garden 16th Main,BTM LAYOUT,BESIDE BANGLOR ONE CENTER",12.91664233,77.60903892
500A,"BTM Layout Bus Stop,BTM LAYOUT 2ND STAGE,IN FROUNT OF KUVEMPUNAGRA BUS STAND",12.91636292,77.61599053
500A,"Central Silk Board,MADIWALA,IN FRONT OF SHRI KRISHNA BHAVAN HOTEL",12.9177241,77.62390018
500A,"HSR Apartment,KORAMANAGALA, HSR LAYOUT,IN FRONT OF ARANYA MULTI CUISINE RESTAURANT",12.91680553,77.62932712
500A,"14th Main HSR Layout,HSR LAYOUT,IN FRONT OF WESTMEAD CLINIC",12.91627,77.6353
500A,"Depot-25,HSR LAYOUT,OPPOSITE OF SAROVARA APARTMENT, DEPOT 25",12.91997935,77.64300811
500A,Agara Junction,12.92444,77.65051
500A,Ibbaluru Sarjapura Road,12.921205,77.662857
500A,"Sarjapura Cross,HSR LAYOUT,IN FRONT OF SHOBHA GRANET APARTMENT",12.92119908,77.66580497
500A,"Petrol Bunk,BELLANDUR,IN FRONT OF INDIAN OIL CORPORATION",12.92311922,77.67000118
500A,"Bellandur gate,BELLANDUR,OPPOSITE OF ANGAN RESTUARANT",12.92497903,77.67403406
500A,"Eco Space,BELLANDUR,IN FRONT OF MARUTHI SUZUKI MOTORS",12.92797569,77.68032997
500A,"Devarabisanahalli,DEVERA BISANAHALLI,OPPOSTIE OF COUNTRY CLUB",12.93206981,77.68708139
500A,"New Horizon College,DEVARA BISANAHALLI, KADABEESANAHALLI,BESIDE SALAPURIA TOUCH STONE",12.93545,77.6911
500A,"Kada Bisanahalli,KADABEESANAHALLI,IN FRONT OF V.R.CHAMBERS",12.93962105,77.69520275
500A,"Multiplex Marathahalli,MARATHAHALLI,BESIDE PRESTIGE TECH PARK",12.95156,77.6997
500A,"Jn of Marathalli Bridge,MARATHAHALLI,IN FRONT OF SOUL SPACE PARDIGM",12.95408442,77.70025145
500A,"Karthik Nagara,MARATHAHALLI,IN FRONT OF A.P.RESIDENCY, GUEST HOUSE",12.96838939,77.70133758
500A,"Dodda Nekkundi,DODDANEKUNDI,NEAR BY CAFE COFFEE DAY",12.97981401,77.69440256
500A,"EMC2,DODDANEKUNDI,IN FRONT OF TOTAL MALL",12.98239971,77.69279899
500A,"Mahadevapura Cross,MAHADEVAPURA,IN FRONT OF MTB MANGALAMERU KALAYANA MANTAPA",12.98863764,77.6889819
500A,"B Narayanapura,B.NARAYANA PURA,OPPOSITE OF MORE MEGA STORE",12.99647279,77.68342688
500A,"KR Puram Railway Station,KR PURAM,OPPOSITE OF BRIDGE",12.99988978,77.6762812
500A,Tin Factory,12.99636412,77.66866193
500A,"Jn of Kasturi Nagara,KASTURI NAGARA,BESIDE SHRI SHANTI TOWER",13.00403,77.66316
500A,"BChannasandra,RAMAMURTHY NAGARA,UNDER PASS ENTRANCE",13.01127976,77.66227825
500A,"Vijaya Bank Colony,DODDA BANASAWADI,OPPOSITE OF CACHE FURNITURES LIMITED",13.0169559,77.66014924
500A,"Horamabu petrol bunk,BANASAWADI,OPPOSITE OF UDUPI SAGAR HOTEL",13.01941329,77.65433291
500A,"Babusab Palya,KALYANA NAGARA,IN FRONT OF SHRI R.V.PLAZA",13.0224129,77.64733761
500A,"80 Feet Road Kalyan Nagara,KALYANA NAGARA,OPPOSITE OF SATISH SAGAR HOTEL",13.02529059,77.64053667
500A,"Kalyana Nagara,KALYANA NAGARA,OPPOSITE OF INDO ASIAN ACADEMY DEGREE COLLEGE",13.02636557,77.6364009
500A,"Jn of Hennur Cross,HENNURU,OPPOSITE OF NAVAJEEVA ASHRAM, NEW LIFE COLLEGE",13.02934921,77.63125598
500A,HBR Layout,13.03413,77.62895
500A,"Jn of Nagavara,NAGAVARA,IN FRONT OF RASI TVS SERVICE CENTER",13.04046938,77.62394322
500A,"Manyatha Tech Park,NAGAVARA,OPPOSITE OF IBM MANYATA COMPANY",13.04107,77.62088
500A,"Veeranna Palya,NAGAVARA,OPPOSITE OF UDUPI UPHAR HOTEL",13.04211,77.61355
500A,"Kempapura,HEBBALA,OPPOSITE OF SHRI BHAVANI ENTERPRISES",13.04358395,77.6008414
500A,Hebbala,13.0426667,77.59113626
600A,"MCTC Bus Stand,TIMBER YARD LAYOUT,IN FRONT OF GANESH BAKERY",12.95406681,77.54432944
600A,"Telecom Colony Cross,RAGHAVA BLOCK,BESIDE DEEPA CONDIMENTS",12.94842286,77.54935909
600A,"Muneshwara Block,MUNESHWARA BLOCK,BESIDE SOHAN ENTERPRISES",12.94232997,77.54862861
600A,"Nagendra Block,BANASHANKARI 3RD STAGE NAGENDRA BLOCK,BESIDE SWASTIK HARD WARE",12.94184,77.55324
600A,"Bank Colony,BANASHANKARI 1ST STAGE,IN FRONT OF PADMASHREE CLINIC",12.93876,77.55245
600A,"Seetha Circle,BANASHANKARI 1ST STAGE,IN FRONT OF SBI BANK ATM",12.93813578,77.55020276
600A,"Hosakerehalli Cross,BANASHANKARI 3RD STAGE,IN FRONT OF CHANDAN HARDWERE",12.932369,77.54516694
600A,"Janatha Bazar,BANASHANKARI 3RD STAGE,OPPOSITE OF SHIVA SHANKARA SABHANGANA",12.92840662,77.54601538
600A,"Banashankari 3rd Stage 3rd Phase,BANASHANKARI 3RD STAGE,IN FRONT OF LITTLE MILLENIUM NURSERY SCHOOL",12.9250089,77.55084267
600A,"Devegwada Petrol Bunk,BANASHANKARI 2ND STAGE,BESIDE BESCOM",12.92187871,77.56083559
600A,"Kadirenahalli Park,BANASHANKRI 2ND STAGE KAVERI NAGARA,BESIDE HANUMAN MANDIR",12.91766899,77.56452346
600A,"kadirenahalli cross,BANASHANKRI 2ND STAGE TEACHERS COLONY,BESIDE S.A.F00T WEAR",12.91388942,77.5668683
600A,BANASHANKARI TTMC,12.91756291,77.57344712
600A,"Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER",12.91762498,77.57737795
