busstop,lat,lon
"MCTC Bus Stand,TIMBER YARD LAYOUT,IN FRONT OF GANESH BAKERY",12.9540668090393,77.5443294399661
"Telecom Colony Cross,RAGHAVA BLOCK,BESIDE DEEPA CONDIMENTS",12.9484228604,77.5493590906
"Muneshwara Block,MUNESHWARA BLOCK,BESIDE SOHAN ENTERPRISES",12.9423299711,77.5486286078
"Nagendra Block,BANASHANKARI 3RD STAGE NAGENDRA BLOCK,BESIDE SWASTIK HARD WARE",12.94184,77.55324
"Bank Colony,BANASHANKARI 1ST STAGE,IN FRONT OF PADMASHREE CLINIC",12.93876,77.55245
"Seetha Circle,BANASHANKARI 1ST STAGE,IN FRONT OF SBI BANK ATM",12.9381357804306,77.5502027621916
"Hosakerehalli Cross,BANASHANKARI 3RD STAGE,IN FRONT OF CHANDAN HARDWERE",12.9323689967086,77.5451669408954
"Janatha Bazar,BANASHANKARI 3RD STAGE,OPPOSITE OF SHIVA SHANKARA SABHANGANA",12.9284066241,77.5460153818
"Banashankari 3rd Stage 3rd Phase,BANASHANKARI 3RD STAGE,IN FRONT OF LITTLE MILLENIUM NURSERY SCHOOL",12.9250089023591,77.5508426665613
"Devegwada Petrol Bunk,BANASHANKARI 2ND STAGE,BESIDE BESCOM",12.9218787141,77.5608355924
"Kadirenahalli Park,BANASHANKRI 2ND STAGE KAVERI NAGARA,BESIDE HANUMAN MANDIR",12.9176689871,77.5645234622
"kadirenahalli cross,BANASHANKRI 2ND STAGE TEACHERS COLONY,BESIDE S.A.F00T WEAR",12.9138894193,77.5668682996
BANASHANKARI TTMC,12.9175629124167,77.5734471158981
"Sangam Circle,JAYANAGARA 8TH BLOCK,BESIDE INDIAN TYRE CENTER",12.9176249821,77.5773779489
"Jayanagara 5th Block,JAYANAGARA 5TH BLOCK,BESIDE KRISHNA SEVA ASHRAMA HOSPITAL",12.9170916416,77.584924344
"Marenahalli Petrol Bunk,PATTABHIRAMA NAGARA,BESIDE AKKA MAHADEVI PARK",12.9170410149,77.5886585657
"Ragigudda,JAYANAGARA 9TH BLOCK,OPPOSITE OF CENTRAL MALL",12.91690622009,77.5921299824997
Jayanagara 9th Block East,12.91682,77.59707
"MICO Layout,BTM LAYOUT 1ST STAGE",12.9166977746839,77.603466782884
"BTM water Tank,BTM LAYOUT,IN FRONT OF CORPORATION BANK",12.9167048167,77.6067416836
"Udupi Garden 16th Main,BTM LAYOUT,BESIDE BANGLOR ONE CENTER",12.9166423284103,77.6090389222481
"BTM Layout Bus Stop,BTM LAYOUT 2ND STAGE,IN FROUNT OF KUVEMPUNAGRA BUS STAND",12.9163629189,77.615990527
"Central Silk Board,BTM LAYOUT MADIWALA,OPPOSITE OF CENTRAL SILK BOARD",12.9170802963204,77.6217106410866
Roopena Agrahar,12.91189777,77.62612268
Bommanahalli,12.90534806,77.63018404
Garvebhavi Palya,12.89627974,77.63574793
Kudlu Gate,12.889887,77.6396839
Singasandra,12.87873262,77.64657216
Hosa Road,12.87069872,77.65292842
PESCollege,12.85872647,77.6624131
"Konnappana Agrahara,ELECTRONIC CITY POST,IN FRONT OF AXIS BANK",12.8541179001,77.6661175769
"Electronic City,ELECTRONIC CITY POST,OPPOSITE OF N.T.T.F. FOUNDATION",12.848213017,77.6707657613
"Veerasandra Gate,ELECTRONIC CITY POST,IN FRONT OF SHANKAR INFRASTRUCTURE MATERIAL LIMITED",12.8397195181625,77.6773380844436
"Huskur Gate,ELECTRONIC CITY POST,BESIDE ESTATE GARDEN",12.837271878598,77.6789832217516
"Hebbagodi,HEBBAGODI,OPPOSITE OF SHRI PRASANNA ANJANEYA SWAMI TEMPLE",12.8271580607569,77.6824885723748
"Bommasandra,BOMMASANDRA,IN FRONT OF D-MAST MALL",12.8183296805057,77.6898556447398
"BTL College,BOMMASANDRA,OPPOSITE OF NARAYANA HRUDALAYA HOSPITAL",12.8108153102898,77.6957207283452
"Hennagra Gate,BOMMASANDRA,OPPOSITE OF UNION BANK ATM,GOWDRA COMPLEX",12.8071208764087,77.6987066951118
"Chandapura,CHANDAPURA,ANEKAL TALUKU,IN FRONT OF S.K. MEDICALS & GENERAL STORES",12.8026773208972,77.7044280221906
